Column1,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
2,NFLX250124C00270000,2024-12-09 17:47:08+00:00,270,642.42,681.15,686.65,0,0,,1,8.548832781982421,TRUE,REGULAR,USD
12,NFLX250124C00520000,2024-12-13 16:33:16+00:00,520,399.08,431.3,436.7,0,0,1,1,2.3750040624999995,TRUE,REGULAR,USD
29,NFLX250124C00675000,2024-12-20 19:00:21+00:00,675,244.46,276.65,281.75,0,0,3,3,1.857422587890625,TRUE,REGULAR,USD
24,NFLX250124C00630000,2024-12-20 20:55:02+00:00,630,283.6,321.5,326.8,0,0,1,1,2.128910927734375,TRUE,REGULAR,USD
23,NFLX250124C00620000,2025-01-06 20:03:48+00:00,620,255.52,331.65,336.8,0,0,3,3,2.296879258,TRUE,REGULAR,USD
3,NFLX250124C00300000,2025-01-07 19:17:14+00:00,300,580.43,651.15,656.65,0,0,,5,7.871093911132812,TRUE,REGULAR,USD
11,NFLX250124C00500000,2025-01-10 19:58:45+00:00,500,347.39,451.3,456.75,0,0,1,1,2.7968780078125004,TRUE,REGULAR,USD
7,NFLX250124C00430000,2025-01-10 20:00:11+00:00,430,416.96,521.25,526.7,0,0,2,2,5.595706130371093,TRUE,REGULAR,USD
35,NFLX250124C00715000,2025-01-13 19:03:46+00:00,715,125.45,237.1,241.85,0,0,,20,1.75000125,TRUE,REGULAR,USD
8,NFLX250124C00440000,2025-01-13 19:14:03+00:00,440,393.71,511.25,516.7,0,0,,14,5.449221938476562,TRUE,REGULAR,USD
31,NFLX250124C00690000,2025-01-14 15:48:52+00:00,690,146.95,261.7,266.45,0,0,2,5,1.5898458007812497,TRUE,REGULAR,USD
36,NFLX250124C00720000,2025-01-16 16:46:52+00:00,720,139.65,231.7,236.85,0,0,1,156,1.5986348193359374,TRUE,REGULAR,USD
32,NFLX250124C00695000,2025-01-16 20:59:10+00:00,695,150.02,256.7,261.15,0,0,,5,2.4021036041259762,TRUE,REGULAR,USD
16,NFLX250124C00580000,2025-01-17 15:27:08+00:00,580,274.44,371.3,376.8,0,0,,3,2.289066777,TRUE,REGULAR,USD
15,NFLX250124C00570000,2025-01-17 15:46:11+00:00,570,284.66,381.3,386.75,0,0,,1,2.2578168554687497,TRUE,REGULAR,USD
25,NFLX250124C00645000,2025-01-17 17:30:28+00:00,645,335.57,306.7,311.8,120.23001,55.83264,10,10,2.128910927734375,TRUE,REGULAR,USD
9,NFLX250124C00450000,2025-01-17 17:59:41+00:00,450,411.43,501.25,506.7,0,0,5,7,5.306643991699217,TRUE,REGULAR,USD
5,NFLX250124C00390000,2025-01-17 20:22:12+00:00,390,472.13,561.2,566.65,0,0,,0,6.197267878417969,TRUE,REGULAR,USD
22,NFLX250124C00615000,2025-01-21 15:53:30+00:00,615,250.62,336.3,341.8,0,0,1,1,2.039067402,TRUE,REGULAR,USD
4,NFLX250124C00340000,2025-01-21 17:43:27+00:00,340,530.77,611.2,616.65,0,0,2,4,7.070313662109376,TRUE,REGULAR,USD
40,NFLX250124C00745000,2025-01-21 20:12:19+00:00,745,241.27,207.1,211.2,117.9,95.56618,1,2,1.3300814746093748,TRUE,REGULAR,USD
20,NFLX250124C00600000,2025-01-21 20:56:20+00:00,600,379,351.3,356.8,110.79999,41.312447,1,10,2.140629648,TRUE,REGULAR,USD
6,NFLX250124C00400000,2025-01-22 14:31:46+00:00,400,575.51,551.2,556.7,136.16,30.991236,2,2,6.055666493,TRUE,REGULAR,USD
14,NFLX250124C00565000,2025-01-22 14:43:40+00:00,565,412.23,386.3,391.8,94.850006,29.885313,1,1,2.3984415039062497,TRUE,REGULAR,USD
26,NFLX250124C00650000,2025-01-22 14:46:56+00:00,650,335,301.45,306.15,124,58.767773,3,13,2.8286162097167966,TRUE,REGULAR,USD
13,NFLX250124C00550000,2025-01-22 15:28:06+00:00,550,423.3,401.3,406.75,114.70999,37.1723,10,11,2.4062539843749997,TRUE,REGULAR,USD
28,NFLX250124C00670000,2025-01-22 15:40:32+00:00,670,296.21,281.65,286.75,99.249985,50.39093,2,7,1.892578662109375,TRUE,REGULAR,USD
1,NFLX250124C00260000,2025-01-22 15:53:03+00:00,260,707.15,691.25,696.65,90.55005,14.68538,2,1,8.792973254394532,TRUE,REGULAR,USD
19,NFLX250124C00595000,2025-01-22 15:57:28+00:00,595,370.25,356.3,361.8,47.070007,14.564642,2,1,2.1796920507812496,TRUE,REGULAR,USD
45,NFLX250124C00765000,2025-01-22 16:26:42+00:00,765,204.26,186.7,191.85,95.7,88.154015,2,23,1.2880894970703123,TRUE,REGULAR,USD
46,NFLX250124C00770000,2025-01-22 16:26:42+00:00,770,199.25,181.75,186.1,95.14,91.38411,11,26,1.7250990307617187,TRUE,REGULAR,USD
47,NFLX250124C00775000,2025-01-22 16:36:43+00:00,775,190.65,176.6,179.85,92.649994,94.54081,26,10,1.4321317456054685,TRUE,REGULAR,USD
49,NFLX250124C00785000,2025-01-22 16:36:43+00:00,785,181.45,166.75,171.1,90.96999,100.54154,5,13,1.5966817041015622,TRUE,REGULAR,USD
48,NFLX250124C00780000,2025-01-22 17:14:22+00:00,780,188.3,171.75,174.85,92.3,96.145836,106,73,1.394045998535156,TRUE,REGULAR,USD
41,NFLX250124C00747500,2025-01-22 17:16:19+00:00,747.5,218.35,204.2,209.4,97.28001,80.35022,3,4,1.421877891,TRUE,REGULAR,USD
51,NFLX250124C00795000,2025-01-22 17:16:29+00:00,795,170.85,156.75,159.8,87.41,104.757904,3047,3023,1.2685583447265623,TRUE,REGULAR,USD
43,NFLX250124C00755000,2025-01-22 17:17:41+00:00,755,209.6,196.75,201.9,88.89001,73.63931,19,20,1.3847687011718748,TRUE,REGULAR,USD
33,NFLX250124C00700000,2025-01-22 17:23:30+00:00,700,259.75,251.7,256.85,88.78,51.92724,10,27,1.7412122314453122,TRUE,REGULAR,USD
44,NFLX250124C00760000,2025-01-22 18:18:18+00:00,760,197,191.7,196.5,85.22,76.239044,27,37,1.1816447167968749,TRUE,REGULAR,USD
55,NFLX250124C00815000,2025-01-22 18:47:21+00:00,815,141.17,138.2,139.75,72.57,105.78718,3011,3028,1.1084028955078127,TRUE,REGULAR,USD
10,NFLX250124C00480000,2025-01-22 18:51:13+00:00,480,476.37,471.25,476.75,90.16998,23.348,3,4,2.687503281,TRUE,REGULAR,USD
18,NFLX250124C00590000,2025-01-22 18:51:13+00:00,590,366.34,361.3,366.8,100.51001,37.809883,1,2,2.214848212890624,TRUE,REGULAR,USD
21,NFLX250124C00605000,2025-01-22 18:51:58+00:00,605,352.38,347,351.8,33.30002,10.436261,1,1,2.578128555,TRUE,REGULAR,USD
56,NFLX250124C00820000,2025-01-22 18:57:13+00:00,820,134.55,133.2,134.8,68.590004,103.987274,33,69,0.648441016,TRUE,REGULAR,USD
123,NFLX250124C01180000,2025-01-22 19:07:48+00:00,1180,0.03,0.01,0.09,-0.03,-50,132,400,1.007817461,FALSE,REGULAR,USD
17,NFLX250124C00585000,2025-01-22 19:13:13+00:00,585,373.08,366.3,371.8,31.869995,9.340288,10,10,2.2500043749999996,TRUE,REGULAR,USD
27,NFLX250124C00665000,2025-01-22 19:21:17+00:00,665,295.28,286.65,291.85,76.11,34.726467,1,8,1.9785157324218752,TRUE,REGULAR,USD
30,NFLX250124C00680000,2025-01-22 19:22:03+00:00,680,280.4,271.65,276.85,77.28999,38.05327,1,6,1.867188164,TRUE,REGULAR,USD
50,NFLX250124C00790000,2025-01-22 19:33:01+00:00,790,167.25,161.75,164.8,80.66,93.15164,27,58,1.3056675341796873,TRUE,REGULAR,USD
42,NFLX250124C00750000,2025-01-22 19:36:38+00:00,750,207.92,201.7,206.9,85.479996,69.81378,32,48,1.4052764111328124,TRUE,REGULAR,USD
53,NFLX250124C00805000,2025-01-22 19:56:25+00:00,805,150.91,148.25,149.8,76.98,104.125534,37,30,0.8085956640624999,TRUE,REGULAR,USD
38,NFLX250124C00735000,2025-01-22 20:22:11+00:00,735,218.41,216.7,221.9,86.03,64.98715,2,3,1.509768076171875,TRUE,REGULAR,USD
39,NFLX250124C00740000,2025-01-22 20:22:11+00:00,740,213.35,211.7,216.8,85.350006,66.679695,5,30,1.4423856005859377,TRUE,REGULAR,USD
54,NFLX250124C00810000,2025-01-22 20:22:37+00:00,810,142.52,143.2,144.8,70.3,97.34146,3025,3035,0.703127969,TRUE,REGULAR,USD
34,NFLX250124C00705000,2025-01-22 20:22:46+00:00,705,246.28,246.7,251.85,86.619995,54.252785,2,7,1.705079599609375,TRUE,REGULAR,USD
37,NFLX250124C00725000,2025-01-22 20:22:46+00:00,725,226.37,226.7,231.9,82.20999,57.026905,3,6,1.5800802246093748,TRUE,REGULAR,USD
58,NFLX250124C00830000,2025-01-22 20:23:58+00:00,830,122.58,123.25,124.8,64.16,109.82542,221,288,0.6718782812500002,TRUE,REGULAR,USD
0,NFLX250124C00250000,2025-01-22 20:24:14+00:00,250,702.95,701.15,706.65,83.85004,13.54386,128,6,9.046879345703125,TRUE,REGULAR,USD
121,NFLX250124C01160000,2025-01-22 20:26:13+00:00,1160,0.07,0.01,0.12,-0.030000001,-30,1006,307,0.9570316796874999,FALSE,REGULAR,USD
127,NFLX250124C01260000,2025-01-22 20:38:36+00:00,1260,0.01,0,0.01,-0.01,-50,1065,304,1.0625046875000002,FALSE,REGULAR,USD
103,NFLX250124C01045000,2025-01-22 20:42:24+00:00,1045,0.4,0.35,0.44,-1.2,-75,1157,161,0.6176796044921876,FALSE,REGULAR,USD
126,NFLX250124C01240000,2025-01-22 20:42:36+00:00,1240,0.02,0,0.02,0,0,291,81,1.0625046875000002,FALSE,REGULAR,USD
63,NFLX250124C00855000,2025-01-22 20:42:52+00:00,855,98,98.2,99.8,53.58,120.621346,294,459,0.826906028,TRUE,REGULAR,USD
62,NFLX250124C00850000,2025-01-22 20:42:59+00:00,850,103.25,103.2,104.5,55.9,118.05703,498,995,0.797853584,TRUE,REGULAR,USD
113,NFLX250124C01095000,2025-01-22 20:44:24+00:00,1095,0.17,0.08,0.22,-0.37,-68.51852,432,280,0.770510107,FALSE,REGULAR,USD
122,NFLX250124C01170000,2025-01-22 20:45:30+00:00,1170,0.03,0.01,0.1,-0.07,-70,1019,784,0.9804689453125001,FALSE,REGULAR,USD
59,NFLX250124C00835000,2025-01-22 20:45:54+00:00,835,118.73,118.25,119.75,62.730003,112.01787,293,646,0.578129219,TRUE,REGULAR,USD
71,NFLX250124C00895000,2025-01-22 20:45:54+00:00,895,59.18,58.85,59.95,33.48,130.27237,418,413,0.5520064331054688,TRUE,REGULAR,USD
120,NFLX250124C01150000,2025-01-22 20:51:22+00:00,1150,0.1,0.04,0.1,-0.019999996,-16.666662,1855,1690,0.925781992,FALSE,REGULAR,USD
57,NFLX250124C00825000,2025-01-22 20:52:00+00:00,825,127.12,128.2,129.8,65.520004,106.36365,49,164,0.6250037500000001,TRUE,REGULAR,USD
118,NFLX250124C01130000,2025-01-22 20:53:09+00:00,1130,0.08,0.02,0.15,-0.19000001,-70.37038,764,344,0.8652357226562499,FALSE,REGULAR,USD
108,NFLX250124C01070000,2025-01-22 20:53:12+00:00,1070,0.25,0.24,0.28,-0.54,-68.35443,1525,326,0.7055693505859376,FALSE,REGULAR,USD
112,NFLX250124C01090000,2025-01-22 20:53:31+00:00,1090,0.22,0.15,0.25,-0.35999998,-62.068966,778,228,0.7753928710937501,FALSE,REGULAR,USD
109,NFLX250124C01075000,2025-01-22 20:54:33+00:00,1075,0.23,0.17,0.31,-0.52,-69.333336,2033,355,0.7221707470703125,FALSE,REGULAR,USD
60,NFLX250124C00840000,2025-01-22 20:54:40+00:00,840,114,113.2,114.85,61.58,117.47425,210,591,0.6210975390625001,TRUE,REGULAR,USD
74,NFLX250124C00905000,2025-01-22 20:54:50+00:00,905,50.19,48.8,50.1,27.349998,119.74605,362,403,0.49121602539062503,TRUE,REGULAR,USD
61,NFLX250124C00845000,2025-01-22 20:56:22+00:00,845,110,108.2,109.85,61.05,124.7191,79,164,0.5937540625000001,TRUE,REGULAR,USD
117,NFLX250124C01120000,2025-01-22 20:56:28+00:00,1120,0.1,0.03,0.12,-0.15,-60.000004,1405,617,0.81445498,FALSE,REGULAR,USD
52,NFLX250124C00800000,2025-01-22 20:56:36+00:00,800,154.7,153.25,154.8,74.95,93.981186,3134,3106,0.8359391406249999,TRUE,REGULAR,USD
115,NFLX250124C01105000,2025-01-22 20:56:56+00:00,1105,0.1,0.08,0.2,-0.20000002,-66.66667,599,192,0.807619111,FALSE,REGULAR,USD
97,NFLX250124C01015000,2025-01-22 20:57:24+00:00,1015,0.83,0.76,0.88,-2.3200002,-73.650795,2685,1612,0.5151415673828125,FALSE,REGULAR,USD
110,NFLX250124C01080000,2025-01-22 20:57:25+00:00,1080,0.2,0.18,0.26,-0.44,-68.75,1181,502,0.737307314,FALSE,REGULAR,USD
67,NFLX250124C00875000,2025-01-22 20:57:27+00:00,875,79,78.7,79.85,44.28,127.53456,740,750,0.569340244,TRUE,REGULAR,USD
119,NFLX250124C01140000,2025-01-22 20:57:36+00:00,1140,0.06,0.03,0.08,-0.06999999,-53.84615,809,263,0.867188828,FALSE,REGULAR,USD
79,NFLX250124C00925000,2025-01-22 20:57:40+00:00,925,31,29.6,31.7,14.5,87.878784,927,1891,0.43408769042968753,TRUE,REGULAR,USD
116,NFLX250124C01110000,2025-01-22 20:57:47+00:00,1110,0.14,0.09,0.15,-0.21,-60,790,473,0.81445498,FALSE,REGULAR,USD
111,NFLX250124C01085000,2025-01-22 20:57:52+00:00,1085,0.19,0.13,0.26,-0.37,-66.07143,597,137,0.7490259472656251,FALSE,REGULAR,USD
68,NFLX250124C00880000,2025-01-22 20:57:54+00:00,880,74.21,73.8,74.8,41.899998,129.68121,1034,2438,0.543949873,TRUE,REGULAR,USD
125,NFLX250124C01220000,2025-01-22 20:57:54+00:00,1220,0.02,0.02,0.03,-0.01,-33.333336,530,447,1.0781296093750001,FALSE,REGULAR,USD
65,NFLX250124C00865000,2025-01-22 20:58:04+00:00,865,88.71,88.65,89.85,49.21,124.582275,1075,1848,0.6250037500000001,TRUE,REGULAR,USD
124,NFLX250124C01200000,2025-01-22 20:58:22+00:00,1200,0.01,0.01,0.04,-0.04,-80.00001,1382,767,1.015629922,FALSE,REGULAR,USD
70,NFLX250124C00890000,2025-01-22 20:58:28+00:00,890,63.6,63.85,65,34.979996,122.22219,690,1021,0.506840869,TRUE,REGULAR,USD
73,NFLX250124C00902500,2025-01-22 20:58:39+00:00,902.5,52.29,51.3,52.65,28.69,121.567795,422,380,0.5163622583007812,TRUE,REGULAR,USD
75,NFLX250124C00907500,2025-01-22 20:58:39+00:00,907.5,47.6,45.05,48.5,26.05,120.881676,138,138,0.5500533276367189,TRUE,REGULAR,USD
64,NFLX250124C00860000,2025-01-22 20:59:01+00:00,860,93.65,93.2,94.85,51.84,123.98947,837,1301,0.515629844,TRUE,REGULAR,USD
80,NFLX250124C00930000,2025-01-22 20:59:04+00:00,930,26.5,25.65,28.2,12,82.75862,1984,2853,0.4594780615234375,TRUE,REGULAR,USD
100,NFLX250124C01030000,2025-01-22 20:59:09+00:00,1030,0.52,0.5,0.66,-1.5699999,-75.11962,4514,759,0.5712933496093751,FALSE,REGULAR,USD
77,NFLX250124C00915000,2025-01-22 20:59:13+00:00,915,40.05,38.8,40.9,20.609999,106.0185,422,1383,0.4762015270996094,TRUE,REGULAR,USD
72,NFLX250124C00900000,2025-01-22 20:59:23+00:00,900,54.5,53.85,54.95,30.15,123.8193,5166,4273,0.5136767382812499,TRUE,REGULAR,USD
81,NFLX250124C00935000,2025-01-22 20:59:30+00:00,935,22.46,22.1,23.2,8.509999,61.003582,867,848,0.40320421020507813,TRUE,REGULAR,USD
96,NFLX250124C01010000,2025-01-22 20:59:32+00:00,1010,0.89,0.87,0.98,-2.25,-71.65605,3605,1472,0.5014698291015626,FALSE,REGULAR,USD
95,NFLX250124C01005000,2025-01-22 20:59:34+00:00,1005,1.06,1.06,1.19,-2.63,-71.27371,2541,1535,0.4887746435546876,FALSE,REGULAR,USD
89,NFLX250124C00975000,2025-01-22 20:59:39+00:00,975,4.05,3.95,4.2,-2.6699996,-39.73214,6972,693,0.41644870666503897,FALSE,REGULAR,USD
98,NFLX250124C01020000,2025-01-22 20:59:40+00:00,1020,0.68,0.6,0.75,-1.95,-74.144485,6193,1874,0.526371924,FALSE,REGULAR,USD
99,NFLX250124C01025000,2025-01-22 20:59:40+00:00,1025,0.63,0.55,0.68,-2.02,-76.22641,4001,1822,0.5476119458007813,FALSE,REGULAR,USD
106,NFLX250124C01060000,2025-01-22 20:59:43+00:00,1060,0.31,0.28,0.32,-0.71,-69.60784,2760,1171,0.6694368994140626,FALSE,REGULAR,USD
78,NFLX250124C00920000,2025-01-22 20:59:44+00:00,920,35.5,34.6,36,17,91.89189,1514,1398,0.4381159704589844,TRUE,REGULAR,USD
76,NFLX250124C00910000,2025-01-22 20:59:46+00:00,910,44.6,43.85,45.95,23.499998,111.3744,1635,2506,0.5241746801757812,TRUE,REGULAR,USD
114,NFLX250124C01100000,2025-01-22 20:59:49+00:00,1100,0.14,0.13,0.14,-0.31,-68.88889,5581,1869,0.78222874,FALSE,REGULAR,USD
83,NFLX250124C00945000,2025-01-22 20:59:52+00:00,945,15.52,15.1,16.2,3.9300003,33.908543,703,563,0.39703972106933594,TRUE,REGULAR,USD
85,NFLX250124C00955000,2025-01-22 20:59:52+00:00,955,9.9,9.9,10.45,0.09999943,1.0204023,2350,530,0.38837281555175784,FALSE,REGULAR,USD
66,NFLX250124C00870000,2025-01-22 20:59:54+00:00,870,84.5,83.7,84.8,47.28,127.02847,1595,1831,0.5932657861328126,TRUE,REGULAR,USD
69,NFLX250124C00885000,2025-01-22 20:59:54+00:00,885,69.26,68.75,70,38.660004,126.33989,472,891,0.5297898583984376,TRUE,REGULAR,USD
84,NFLX250124C00950000,2025-01-22 20:59:54+00:00,950,12.65,12.4,13,1.9299994,18.003725,4716,3060,0.38733522827148437,TRUE,REGULAR,USD
91,NFLX250124C00985000,2025-01-22 20:59:54+00:00,985,2.55,2.5,2.6,-3.0000002,-54.054058,5368,570,0.4331111376953125,FALSE,REGULAR,USD
93,NFLX250124C00995000,2025-01-22 20:59:54+00:00,995,1.65,1.61,1.7,-2.75,-62.5,5345,451,0.4580132324218751,FALSE,REGULAR,USD
92,NFLX250124C00990000,2025-01-22 20:59:55+00:00,990,2.06,2,2.13,-2.87,-58.21501,5618,1086,0.44751529052734373,FALSE,REGULAR,USD
82,NFLX250124C00940000,2025-01-22 20:59:56+00:00,940,18.83,18.35,19.5,6.01,46.879875,2202,2224,0.39819937744140627,TRUE,REGULAR,USD
86,NFLX250124C00960000,2025-01-22 20:59:56+00:00,960,8.03,8,8.35,-0.8699999,-9.77528,7224,1785,0.39264523376464844,FALSE,REGULAR,USD
102,NFLX250124C01040000,2025-01-22 20:59:56+00:00,1040,0.46,0.4,0.49,-1.54,-77,2877,633,0.6020547607421877,FALSE,REGULAR,USD
90,NFLX250124C00980000,2025-01-22 20:59:57+00:00,980,3.2,3.1,3.35,-2.9799998,-48.220062,12499,1253,0.42676354492187507,FALSE,REGULAR,USD
101,NFLX250124C01035000,2025-01-22 20:59:57+00:00,1035,0.5,0.39,0.66,-1.35,-72.97297,2481,315,0.5903361279296876,FALSE,REGULAR,USD
87,NFLX250124C00965000,2025-01-22 20:59:58+00:00,965,6.4,6.2,6.65,-1.5999999,-19.999998,2683,561,0.39929799926757814,FALSE,REGULAR,USD
104,NFLX250124C01050000,2025-01-22 20:59:58+00:00,1050,0.34,0.3,0.36,-0.9599999,-73.84615,14659,1956,0.6269568554687501,FALSE,REGULAR,USD
105,NFLX250124C01055000,2025-01-22 20:59:58+00:00,1055,0.3,0.22,0.34,-0.94,-75.80645,1195,687,0.637698936,FALSE,REGULAR,USD
107,NFLX250124C01065000,2025-01-22 20:59:58+00:00,1065,0.24,0.19,0.31,-0.75,-75.757576,731,196,0.6772493212890626,FALSE,REGULAR,USD
88,NFLX250124C00970000,2025-01-22 20:59:59+00:00,970,5,5,5.25,-2.4,-32.432434,6038,918,0.4058897302246094,FALSE,REGULAR,USD
94,NFLX250124C01000000,2025-01-22 20:59:59+00:00,1000,1.33,1.31,1.33,-2.7200003,-67.1605,29528,5124,0.46582565429687506,FALSE,REGULAR,USD